employee_id,department,job_role,location,gender,age,hire_date,employment_status,attrition,performance_rating,attendance_pct,monthly_salary,overtime_hours,training_hours,engagement_score
EMP-1032,Sales,Sales Executive,Hyderabad,Male,23,2023-02-01,Terminated,Yes,3.1,90.9,64000,28,10,5.0
EMP-1033,Human Resources,Recruiter,Pune,Male,29,2021-05-23,Active,No,3.5,93.9,73500,8,29,7.6
EMP-1034,Marketing,Marketing Manager,Bengaluru,Female,39,2017-04-30,Active,No,4.3,95.5,125000,10,40,9.1
EMP-1035,Operations,Quality Analyst,Mumbai,Male,29,2022-08-18,Active,No,3.7,92.4,58000,21,20,7.2
EMP-1036,Technology,UX Designer,Delhi,Female,28,2020-01-09,Active,No,4.3,95.6,90500,13,33,7.7
EMP-1037,Finance,Financial Analyst,Hyderabad,Male,32,2019-11-26,Active,No,2.8,92.3,81000,20,15,5.5
EMP-1038,Sales,Account Manager,Mumbai,Female,31,2019-06-17,Active,No,3.9,96.9,86500,17,24,7.5
EMP-1039,Human Resources,HR Manager,Bengaluru,Female,43,2015-03-08,Active,No,4.6,96.4,128000,4,48,9.3
EMP-1040,Marketing,SEO Analyst,Pune,Male,27,2022-04-02,Active,No,4.0,92.3,68500,15,19,7.6
EMP-1041,Technology,Data Analyst,Bengaluru,Female,27,2021-06-14,Active,No,4.2,96.0,93000,12,28,7.8
EMP-1042,Sales,Sales Executive,Mumbai,Male,33,2019-03-22,Active,No,3.7,94.5,65000,22,18,6.9
EMP-1043,Human Resources,HR Specialist,Delhi,Female,31,2020-08-08,Terminated,Yes,4.2,98.5,74500,6,34,8.6
EMP-1044,Finance,Financial Analyst,Bengaluru,Male,28,2022-01-17,Active,No,3.4,91.6,74000,18,12,6.0
EMP-1045,Operations,Operations Manager,Pune,Female,41,2017-09-04,Active,No,4.3,95.8,105500,14,42,9.2
EMP-1046,Technology,Software Engineer,Hyderabad,Male,24,2022-06-11,Active,No,3.9,94.3,95000,16,31,7.5
EMP-1047,Sales,Account Manager,Delhi,Female,29,2020-04-15,Active,No,3.2,89.8,83500,25,16,5.7
EMP-1048,Marketing,Content Strategist,Mumbai,Female,28,2021-11-09,Active,No,4.4,97.2,83000,9,26,8.3
EMP-1049,Operations,Supply Chain Analyst,Pune,Male,33,2018-07-19,Active,No,3.7,94.9,74000,19,22,7.2
EMP-1050,Finance,Accountant,Delhi,Female,38,2016-02-27,Active,No,4.2,99.5,84500,5,38,9.1
EMP-1051,Technology,Product Manager,Bengaluru,Female,33,2018-10-12,Active,No,4.7,95.0,130000,11,45,8.6
EMP-1052,Sales,Sales Executive,Hyderabad,Male,23,2023-02-01,Active,No,3.1,87.7,61500,28,10,5.0
EMP-1053,Human Resources,Recruiter,Pune,Male,29,2021-05-23,Active,No,3.5,95.5,71000,8,29,7.6
EMP-1054,Marketing,Marketing Manager,Bengaluru,Female,39,2017-04-30,Terminated,Yes,4.3,97.1,122500,10,40,9.1
EMP-1055,Operations,Quality Analyst,Mumbai,Male,29,2022-08-18,Active,No,3.7,94.0,73000,21,20,7.2
EMP-1056,Technology,UX Designer,Delhi,Female,28,2020-01-09,Active,No,4.3,97.2,88000,13,33,7.7
EMP-1057,Finance,Financial Analyst,Hyderabad,Male,32,2019-11-26,Active,No,2.8,89.1,78500,20,15,5.5
EMP-1058,Sales,Account Manager,Mumbai,Female,31,2019-06-17,Active,No,3.9,93.7,84000,17,24,7.5
EMP-1059,Human Resources,HR Manager,Bengaluru,Female,43,2015-03-08,Active,No,4.6,98.0,125500,4,48,9.3
EMP-1060,Marketing,SEO Analyst,Pune,Male,27,2022-04-02,Active,No,4.0,93.9,66000,15,19,7.6
